FG,AMOUNT,AVG,STD
cCl,1646,0.7988371849060059,0.012108071868553227
cOc,154,0.44965226619274584,0.07285937626140665
CO,151,1.1911641477749049,0.19555798200268146
cnn(c)C,39,1.1321932597038074,0.14945678103230003
cnc,269,0.6515409822357632,0.1229770818866734
COC(C)=O,113,1.2396956882645598,0.10917121071541547
cOC,186,0.4332850094764463,0.046595975096070656
coc,45,0.6320830504099528,0.0563208705487681
cC1(C)CO1,2,1.1011812686920166,0.004822969436645508
cC(C)=O,18,1.0960978402031794,0.1058823718937572
cO,95,1.3261442711478786,0.08864730055877593
CF,449,0.13946056312866892,0.05092803186558268
cC(=O)OC,47,1.124264935229687,0.09428326749661028
cN,55,1.2333178303458474,0.04225535486221304
cC(=O)O,12,3.5950472156206765,0.08566074576886502
CC(=O)O,40,3.7375299513339995,0.21599468664816265
C#CC,12,0.8884505977233251,0.04207604778814266
cNC(=O)N(C)C,11,3.3006053404374556,0.135794101302959
c[N+](=O)[O-],103,1.4796998732298323,0.07078296824204174
CNC(C)=O,6,2.2711342573165894,0.42697732513096764
CCl,315,0.7421137800292363,0.09457314902162829
cBr,221,1.4130915969745066,0.024650402220589125
COC,85,0.4743182911592371,0.051683920214350566
CN(C)C,15,0.5827838897705078,0.08701001580604453
cN(C)C(=O)NC,2,3.4965107440948486,0.03725314140319824
csc,22,0.8943215716968883,0.03675493196056034
cP(c)(c)=O,1,1.2718963623046875,0.0
COP(=S)(OC)SC,9,2.7289348708258734,0.04697092567131041
cS(=O)(=O)NC,1,2.4301977157592773,0.0
cOC(C)OC,1,1.2046747207641602,0.0
cOS(C)(=O)=O,2,2.1679954528808594,0.005993843078613281
cSC,16,0.8808170408010483,0.057368845032895945
cnn(c)C(=O)N(C)C,2,2.6289069652557373,0.04414534568786621
cF,109,0.2656611696295782,0.010663707202744515
C/C=C/C,6,0.887083113193512,0.05361732608683796
cNC,47,0.7591374478441604,0.09320338101118986
c=O,37,0.6401746466353133,0.20663710704921404
CC#N,32,1.0305159613490105,0.25177590747920775
cN(C)C(C)=O,17,1.430735475876752,0.17885466475989129
cC=C,2,0.8632868528366089,0.009604811668395996
cn(c)C,19,0.5459418673264352,0.09771628141125578
CC1CO1,3,1.2824913660685222,0.021610241834053096
C=C(C)C,11,0.8268385258587924,0.08131534841159958
cN(C)C,17,0.5545476184171789,0.11667470931537766
cNC(=O)NS(C)(=O)=O,1,5.445348739624023,0.0
cNN1C(=O)CN=C1SC,1,4.6367573738098145,0.0
CC1OC(C)OC(C)OC(C)O1,1,3.232858657836914,0.0
C=CC,35,0.8532512119838169,0.12206570485398388
CC=C(C)C,15,0.8801178296407064,0.05153456344972512
CC(C)=O,34,1.1179883199579574,0.15040807510438023
cOC(=O)NC,14,2.951301404408046,0.05321845564353454
cOC(=O)N(C)SN(C)C,2,2.845858573913574,0.030035972595214844
cN=Nc,2,1.2258782386779785,0.033925533294677734
CC(=O)NC,1,2.0971908569335938,0.0
CNC(=O)OC,3,2.700337568918864,0.13996702191116078
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,1,2.2739436626434326,0.0
cOP(=S)(OC)OC,28,2.211456435067313,0.06513626099669098
CI,8,2.2294094264507294,0.025343476445607666
CBr,53,1.3806129761461943,0.08529936021551783
cNC(c)=O,12,2.3495179812113443,0.10358114355682708
